Fecha,Arribo,Cantidad,Farmacéutica
01/07/2021,Ciudad de México,585000,Pfizer-BioNTech
02/07/2021,Ciudad de México,2395300,AstraZeneca
05/07/2021,Estado de México,907000,AstraZeneca
06/07/2021,Estado de México,910900,AstraZeneca
06/07/2021,Querétaro,153260,CanSino Biologics
07/07/2021,Ciudad de México,232830,Pfizer-BioNTech
07/07/2021,Ciudad de México,1000000,Sinovac
08/07/2021,Ciudad de México,1000000,Sinovac
09/07/2021,Estado de México,1749400,AstraZeneca
10/07/2021,Ciudad de México,1000000,Sinovac
10/07/2021,Querétaro,219300,CanSino Biologics
13/07/2021,Ciudad de México,296010,Pfizer-BioNTech
14/07/2021,Ciudad de México,1000000,Sinovac
14/07/2021,Estado de México,738900,AstraZeneca
15/07/2021,Ciudad de México,300000,Sputnik V
15/07/2021,Ciudad de México,1148900,AstraZeneca
15/07/2021,Querétaro,451780,CanSino Biologics
16/07/2021,Estado de México,1862100,AstraZeneca
17/07/2021,Ciudad de México,1000000,Sinovac
19/07/2021,Ciudad de México,585000,Pfizer-BioNTech
20/07/2021,Ciudad de México,446940,Pfizer-BioNTech
20/07/2021,Ciudad de México,106470,Pfizer-BioNTech
21/07/2021,Ciudad de México,585000,Pfizer-BioNTech
21/07/2021,Ciudad de México,2000000,Sinovac
24/07/2021,Ciudad de México,2000000,Sinovac
27/07/2021,Ciudad de México,408330,Pfizer-BioNTech
28/07/2021,Ciudad de México,2000000,Sinovac
28/07/2021,Ciudad de México,585000,Pfizer-BioNTech
30/07/2021,Estado de México,3454000,AstraZeneca
31/07/2021,Querétaro,419230,CanSino Biologics
01/08/2021,Ciudad de México,100000,Sputnik V
03/08/2021,Ciudad de México,313560,Pfizer-BioNTech
03/08/2021,Estado de México,1769500,AstraZeneca
04/08/2021,Ciudad de México,585000,Pfizer-BioNTech
06/08/2021,Querétaro,346540,CanSino Biologics
07/08/2021,Estado de México,1567600,AstraZeneca
08/08/2021,Estado de México,115700,AstraZeneca
10/08/2021,Ciudad de México,288990,Pfizer-BioNTech
11/08/2021,Ciudad de México,585000,Pfizer-BioNTech
15/08/2021,Ciudad de México,150000,Sputnik V
16/08/2021,Estado de México,919900,AstraZeneca
17/08/2021,Ciudad de México,226980,Pfizer-BioNTech
18/08/2021,Ciudad de México,585000,Pfizer-BioNTech
24/08/2021,Ciudad de México,236340,Pfizer-BioNTech
24/08/2021,Ciudad de México,1750000,Moderna
24/08/2021,Querétaro,847100,CanSino Biologics
25/08/2021,Ciudad de México,585000,Pfizer-BioNTech
29/08/2021,Ciudad de México,643500,Pfizer-BioNTech
31/08/2021,Ciudad de México,787410,Pfizer-BioNTech
01/09/2021,Estado de México,4154400,AstraZeneca
05/09/2021,Ciudad de México,973300,AstraZeneca
08/09/2021,Ciudad de México,228150,Pfizer-BioNTech
09/09/2021,Ciudad de México,585000,Pfizer-BioNTech
09/09/2021,Ciudad de México,1293600,AstraZeneca
13/09/2021,Ciudad de México,200000,Sputnik V
14/09/2021,Ciudad de México,228150,Pfizer-BioNTech
15/09/2021,Ciudad de México,585000,Pfizer-BioNTech
16/09/2021,Ciudad de México,933600,AstraZeneca
16/09/2021,Ciudad de México,1150000,Sputnik V
21/09/2021,Ciudad de México,1750000,Moderna
21/09/2021,Ciudad de México,228150,Pfizer-BioNTech
22/09/2021,Ciudad de México,585000,Pfizer-BioNTech
23/09/2021,Ciudad de México,2077100,AstraZeneca
26/09/2021,Ciudad de México,900000,Sputnik V
28/09/2021,Querétaro,854520,CanSino Biologics
